dataset,client_count,attacker_count,cohort_mode,variant,trust_estimator,attack_scenario,noniid_alpha,repeat,stage,attacker_fraction,normal_nodes,target_initial_limited_rate,target_initial_admitted_rate,normal_initial_admitted_rate,target_onboarding_seconds_mean,normal_onboarding_seconds_mean,target_returned_updates_after_start,target_aggregated_updates_after_start,target_effective_aggregation_share_after_start,target_rffl_removals,normal_rffl_removals,update_payload_bytes,server_processing_seconds,configuration_runtime_seconds,controller_state_bytes,final_accuracy,final_backdoor_asr,total_rounds,target_full_access_round_mean,target_promoted_rate,target_effective_aggregation_share_early,target_effective_aggregation_share_late,backdoor_asr_auc_after_start,backdoor_asr_at_round_8,backdoor_asr_growth_round_8_to_final,first_round_asr_ge_10pct,first_round_asr_ge_20pct,first_round_asr_ge_30pct,target_effective_aggregation_share_sustained,target_limited_returned_update_rate_after_start,target_full_weight_aggregated_update_rate_after_start,target_lease_expirations,target_lease_renewals,normal_lease_expirations
fashion_mnist,20,2,mixed_maturity,access_full,dirichlet_lcb,benign_concept_drift,0.5,0,formal,0.1,18,1.0,0.0,1.0,2.778517484664917,9.809781392415365,98,98,0.08014449652154168,0,0,31400000,38.30705342000001,198.9527383,8298191,0.8374,0.010444444444444444,50,5.0,1.0,0.043006647728030076,0.08246666164933328,0.012310185185185183,0.009555555555555555,0.0008888888888888887,nan,nan,nan,0.08246666164933324,0.061224489795918366,0.9387755102040817,0,0,0
fashion_mnist,20,2,mixed_maturity,access_full,dirichlet_lcb,benign_concept_drift,0.5,1,formal,0.1,18,1.0,0.0,1.0,2.5498443841934204,14.573442671034071,98,98,0.13831923620869488,0,0,31400000,38.52661581999999,161.436196,8314575,0.8424,0.028888888888888888,50,5.0,1.0,0.0764648854409384,0.1420666685793338,0.021988425925925925,0.019555555555555555,0.009333333333333332,nan,nan,nan,0.14206666857933378,0.061224489795918366,0.9387755102040817,0,0,0
fashion_mnist,20,2,mixed_maturity,access_full,dirichlet_lcb,benign_concept_drift,0.5,2,formal,0.1,18,1.0,0.0,1.0,3.1609604358673096,16.19516807132297,98,98,0.09184041855392444,0,0,31400000,39.59677913000001,167.2945367,8326839,0.8364,0.01622222222222222,50,5.0,1.0,0.049574917964175645,0.09446666811066676,0.01964814814814814,0.016888888888888887,-0.0006666666666666661,nan,nan,nan,0.09446666811066672,0.061224489795918366,0.9387755102040817,0,0,0
fashion_mnist,20,2,mixed_maturity,access_full,dirichlet_lcb,benign_concept_drift,0.5,3,formal,0.1,18,1.0,0.0,1.0,2.905642032623291,14.528875668843588,98,98,0.12735451930352157,0,0,31400000,39.26364887,162.2096918,8429215,0.8274,0.013555555555555555,50,5.0,1.0,0.07000508177508405,0.13084999869149913,0.020724537037037038,0.018222222222222223,-0.004666666666666668,nan,nan,nan,0.1308499986914993,0.061224489795918366,0.9387755102040817,0,0,0
fashion_mnist,20,2,mixed_maturity,access_full,dirichlet_lcb,benign_concept_drift,0.5,4,formal,0.1,18,1.0,0.0,1.0,3.7625561952590942,11.474301417668661,98,98,0.06727271400266675,0,0,31400000,40.277626250000004,166.999759,8335079,0.8344,0.022222222222222223,50,5.0,1.0,0.035866891476026314,0.06925000069250041,0.023664351851851853,0.03155555555555556,-0.009333333333333336,nan,nan,nan,0.0692500006925003,0.061224489795918366,0.9387755102040817,0,0,0
fashion_mnist,20,2,mixed_maturity,access_full,dirichlet_lcb,diverse_then_repeat_backdoor,0.5,0,formal,0.1,18,1.0,0.0,1.0,3.0698535442352295,9.573542541927761,98,98,0.08014449652154168,0,0,31400000,38.39181533000002,189.0325335,8326863,0.8418,0.7248888888888889,50,5.0,1.0,0.043006647728030076,0.08246666164933328,0.4355439814814815,0.10444444444444445,0.6204444444444445,8.0,12.0,17.0,0.08246666164933324,0.061224489795918366,0.9387755102040817,0,0,0
fashion_mnist,20,2,mixed_maturity,access_full,dirichlet_lcb,diverse_then_repeat_backdoor,0.5,1,formal,0.1,18,1.0,0.0,1.0,3.472986102104187,14.524041983816359,98,98,0.13831923620869488,0,0,31400000,40.08223072,167.6655153,8310455,0.8354,0.9217777777777778,50,5.0,1.0,0.0764648854409384,0.1420666685793338,0.6761203703703703,0.29733333333333334,0.6244444444444445,5.0,7.0,9.0,0.14206666857933375,0.061224489795918366,0.9387755102040817,0,0,0
fashion_mnist,20,2,mixed_maturity,access_full,dirichlet_lcb,diverse_then_repeat_backdoor,0.5,2,formal,0.1,18,1.0,0.0,1.0,2.870892643928528,16.213498049312168,98,98,0.09184041855392443,0,0,31400000,39.303951809999994,162.3952896,8355583,0.8386,0.7837777777777778,50,5.0,1.0,0.04957491796417564,0.09446666811066678,0.5245300925925926,0.1351111111111111,0.6486666666666667,7.0,10.0,13.0,0.0944666681106667,0.061224489795918366,0.9387755102040817,0,0,0
fashion_mnist,20,2,mixed_maturity,access_full,dirichlet_lcb,diverse_then_repeat_backdoor,0.5,3,formal,0.1,18,1.0,0.0,1.0,2.587074875831604,14.754682779312134,98,98,0.12735451930352154,0,0,31400000,38.85892403000001,162.7996779,8417047,0.83,0.8595555555555555,50,5.0,1.0,0.07000508177508405,0.13084999869149913,0.6307083333333334,0.24755555555555556,0.612,6.0,8.0,10.0,0.1308499986914993,0.061224489795918366,0.9387755102040817,0,0,0
fashion_mnist,20,2,mixed_maturity,access_full,dirichlet_lcb,diverse_then_repeat_backdoor,0.5,4,formal,0.1,18,1.0,0.0,1.0,3.373072028160095,11.106736712985569,98,98,0.06727271400266675,0,0,31400000,38.11773971999999,162.8332013,8347367,0.8354,0.6822222222222222,50,5.0,1.0,0.03586689147602633,0.06925000069250041,0.4135138888888888,0.13733333333333334,0.5448888888888889,7.0,13.0,17.0,0.06925000069250029,0.061224489795918366,0.9387755102040817,0,0,0
