dataset,client_count,attacker_count,cohort_mode,variant,trust_estimator,attack_scenario,noniid_alpha,repeat,round,accuracy,backdoor_asr,target_effective_aggregation_share,target_returned_updates,target_aggregated_updates,target_observed_node_rate,target_limited_rate,target_admitted_rate,target_rffl_removals,target_lease_expirations,target_lease_renewals
fashion_mnist,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,1,33,0.8348,0.03,0.07646488544093837,2,2,1.0,1.0,0.0,0,0,0
fashion_mnist,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,1,34,0.8344,0.02311111111111111,0.07646488544093837,2,2,1.0,1.0,0.0,0,0,0
fashion_mnist,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,1,35,0.8246,0.013333333333333334,0.14206666857933334,2,2,1.0,0.0,1.0,0,0,2
fashion_mnist,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,1,36,0.8338,0.023333333333333334,0.1420666685793333,2,2,1.0,0.0,1.0,0,0,0
fashion_mnist,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,1,37,0.8342,0.025555555555555557,0.1420666685793333,2,2,1.0,0.0,1.0,0,0,0
fashion_mnist,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,1,38,0.833,0.018,0.1420666685793333,2,2,1.0,0.0,1.0,0,0,0
fashion_mnist,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,1,39,0.8334,0.024,0.1420666685793333,2,2,1.0,0.0,1.0,0,0,0
fashion_mnist,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,1,40,0.8402,0.028888888888888888,0.07646488544093837,2,2,1.0,1.0,0.0,0,2,0
fashion_mnist,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,1,41,0.8282,0.012222222222222223,0.07646488544093838,2,2,1.0,1.0,0.0,0,0,0
fashion_mnist,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,1,42,0.8234,0.013777777777777778,0.07646488544093838,2,2,1.0,1.0,0.0,0,0,0
fashion_mnist,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,1,43,0.828,0.019555555555555555,0.07646488544093837,2,2,1.0,1.0,0.0,0,0,0
fashion_mnist,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,1,44,0.837,0.035555555555555556,0.07646488544093837,2,2,1.0,1.0,0.0,0,0,0
fashion_mnist,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,1,45,0.8352,0.024,0.1420666685793333,2,2,1.0,0.0,1.0,0,0,2
fashion_mnist,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,1,46,0.837,0.021111111111111112,0.14206666857933334,2,2,1.0,0.0,1.0,0,0,0
fashion_mnist,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,1,47,0.8302,0.035777777777777776,0.1420666685793333,2,2,1.0,0.0,1.0,0,0,0
fashion_mnist,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,1,48,0.8258,0.010888888888888889,0.1420666685793333,2,2,1.0,0.0,1.0,0,0,0
fashion_mnist,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,1,49,0.834,0.025777777777777778,0.1420666685793333,2,2,1.0,0.0,1.0,0,0,0
fashion_mnist,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,1,50,0.8394,0.029555555555555557,0.07646488544093837,2,2,1.0,1.0,0.0,0,2,0
fashion_mnist,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,2,1,0.7684,0.032,0.049574917964175666,2,2,1.0,1.0,0.0,0,0,0
fashion_mnist,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,2,2,0.8018,0.03266666666666666,0.049574917964175666,2,2,1.0,1.0,0.0,0,0,0
