dataset,client_count,attacker_count,cohort_mode,variant,trust_estimator,attack_scenario,noniid_alpha,repeat,stage,attacker_fraction,normal_nodes,target_initial_limited_rate,target_initial_admitted_rate,normal_initial_admitted_rate,target_onboarding_seconds_mean,normal_onboarding_seconds_mean,target_returned_updates_after_start,target_aggregated_updates_after_start,target_effective_aggregation_share_after_start,target_rffl_removals,normal_rffl_removals,update_payload_bytes,server_processing_seconds,configuration_runtime_seconds,controller_state_bytes,configured_access_lease_full_updates,final_accuracy,final_backdoor_asr,total_rounds,target_full_access_round_mean,target_promoted_rate,target_effective_aggregation_share_early,target_effective_aggregation_share_late,backdoor_asr_auc_after_start,backdoor_asr_at_round_8,backdoor_asr_growth_round_8_to_final,first_round_asr_ge_10pct,first_round_asr_ge_20pct,first_round_asr_ge_30pct,target_effective_aggregation_share_sustained,target_limited_returned_update_rate_after_start,target_full_weight_aggregated_update_rate_after_start,target_lease_expirations,target_lease_renewals,normal_lease_expirations,lease_full_updates
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,diverse_then_repeat_backdoor,0.5,1,formal10,0.1,18,1.0,0.0,1.0,2.400412440299988,14.492244839668274,98,98,0.015176374077112332,0,0,122920000,63.51657435999999,185.5822619,8437503,5,0.335,0.33444444444444443,50,5.0,1.0,0.010101010101010097,0.015505568901506814,0.09997685185185183,0.0016666666666666668,0.3327777777777778,4.0,21.0,30.0,0.01495464574650644,0.4897959183673469,0.5102040816326531,10,8,0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,diverse_then_repeat_backdoor,0.5,2,formal10,0.1,18,1.0,0.0,1.0,2.735879421234131,16.130766457981533,98,98,0.06885932701295236,0,0,122920000,62.37013058,186.0085713,8331007,5,0.3565,0.3794444444444444,50,5.0,1.0,0.04668201800293072,0.0702698864266789,0.24225694444444454,0.015,0.3644444444444444,2.0,2.0,2.0,0.06790736682358463,0.4897959183673469,0.5102040816326531,10,8,0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,diverse_then_repeat_backdoor,0.5,3,formal10,0.1,18,1.0,0.0,1.0,2.8138190507888794,14.61856190363566,98,98,0.08133057063236569,0,0,122920000,63.30071166,186.6161289,8429287,5,0.3345,0.4311111111111111,50,5.0,1.0,0.055375555391386014,0.08297383432227554,0.21910879629629634,0.13277777777777777,0.29833333333333334,3.0,4.0,4.0,0.0802210529666426,0.4897959183673469,0.5102040816326531,10,8,0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,diverse_then_repeat_backdoor,0.5,4,formal10,0.1,18,1.0,0.0,1.0,3.0505770444869995,11.20000539885627,98,98,0.09773809503757075,0,0,122920000,63.48370570000001,190.8868771,8416975,5,0.3595,0.5461111111111111,50,5.0,1.0,0.06692841977231749,0.09967689934375014,0.28984953703703714,0.3605555555555556,0.18555555555555553,3.0,5.0,6.0,0.09642823932966213,0.4897959183673469,0.5102040816326531,10,8,0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,diverse_then_repeat_backdoor,0.5,5,formal10,0.1,18,1.0,0.0,1.0,3.179012417793274,11.363578187094795,98,98,0.08544048927405871,0,0,122920000,79.03311314000001,179.0770501,8371943,5,0.35,0.31222222222222223,50,5.0,1.0,0.058257050637599866,0.08715891441320388,0.25813078703703707,0.34,-0.02777777777777779,4.0,8.0,8.0,0.08428004753544756,0.4897959183673469,0.5102040816326531,10,8,0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,diverse_then_repeat_backdoor,0.5,6,formal10,0.1,18,1.0,0.0,1.0,3.5929657220840454,3.5464538070890637,98,98,0.07737411841889441,0,0,122920000,68.26074129999999,135.035292,8404663,5,0.374,0.4083333333333333,50,5.0,1.0,0.05260941874907897,0.07894431242244224,0.2390567129629629,0.11055555555555556,0.29777777777777775,3.0,3.0,5.0,0.07631409131618636,0.4897959183673469,0.5102040816326531,10,8,0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,diverse_then_repeat_backdoor,0.5,7,formal10,0.1,18,1.0,0.0,1.0,3.1551958322525024,6.602237886852688,98,98,0.0778344009815558,0,0,122920000,68.29878338999997,164.7942569,8322791,5,0.341,0.18888888888888888,50,5.0,1.0,0.05293083297358195,0.07941313175655337,0.19972800925925926,0.285,-0.09611111111111109,6.0,7.0,7.0,0.07676859268887495,0.4897959183673469,0.5102040816326531,10,8,0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,diverse_then_repeat_backdoor,0.5,8,formal10,0.1,18,1.0,0.0,1.0,3.964727997779846,6.502570827802022,98,98,0.07816779274000778,0,0,122920000,68.64938948000002,159.7984462,8314623,5,0.3755,0.2922222222222222,50,5.0,1.0,0.05316370376611339,0.07975270093938772,0.2423553240740741,0.11388888888888889,0.17833333333333334,3.0,3.0,3.0,0.07709780089694723,0.4897959183673469,0.5102040816326531,10,8,0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,diverse_then_repeat_backdoor,0.5,9,formal10,0.1,18,1.0,0.0,1.0,3.3634837865829468,14.447814424832663,98,98,0.04680644942080825,0,0,122920000,65.63976453999999,190.6192989,8433407,5,0.3195,0.016666666666666666,50,5.0,1.0,0.03149143346364508,0.04778844799264164,0.14024305555555552,0.04833333333333333,-0.03166666666666666,2.0,2.0,5.0,0.046144255277712064,0.4897959183673469,0.5102040816326531,10,8,0,5
cifar10,20,2,mixed_maturity,access_full,dirichlet_lcb,benign_concept_drift,0.5,0,formal10,0.1,18,1.0,0.0,1.0,3.2853918075561523,9.852994177076551,98,98,0.08224263382676779,0,0,122920000,67.51759876,221.8936906,8339199,5,0.3615,0.020555555555555556,50,5.0,1.0,0.04417922292182229,0.08461999999999982,0.06103009259259259,0.04722222222222222,-0.026666666666666665,2.0,40.0,nan,0.0846199999999999,0.061224489795918366,0.9387755102040817,0,0,0,0
