"dataset","client_count","attacker_count","cohort_mode","variant","trust_estimator","attack_scenario","noniid_alpha","repeat","attack_start_round","limited_clean_updates","limited_observation_updates","limited_aggregation_weight","access_lease_full_updates","max_probation_tasks","min_probation_completed_tasks","min_evidence_mass","round","loss","accuracy","backdoor_asr"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","0","2","5","5","0.5","5","20","9","1.5","47","6.568611145019531","0.3425","0.3527777777777778"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","0","2","5","5","0.5","5","20","9","1.5","48","6.0709991455078125","0.356","0.4411111111111111"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","0","2","5","5","0.5","5","20","9","1.5","49","5.65371561050415","0.3465","0.25666666666666665"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","0","2","5","5","0.5","5","20","9","1.5","50","6.708348751068115","0.3345","0.47888888888888886"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","1","2","5","5","0.5","5","20","9","1.5","1","6.358318328857422","0.21","0.14666666666666667"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","1","2","5","5","0.5","5","20","9","1.5","2","8.18465805053711","0.1585","0.03"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","1","2","5","5","0.5","5","20","9","1.5","3","8.266973495483398","0.2135","0.04555555555555556"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","1","2","5","5","0.5","5","20","9","1.5","4","7.54597282409668","0.2645","0.13944444444444445"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","1","2","5","5","0.5","5","20","9","1.5","5","6.364048480987549","0.2745","0.10388888888888889"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","1","2","5","5","0.5","5","20","9","1.5","6","6.7627644538879395","0.2585","0.06555555555555556"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","1","2","5","5","0.5","5","20","9","1.5","7","7.380271911621094","0.2665","0.13555555555555557"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","1","2","5","5","0.5","5","20","9","1.5","8","6.8441643714904785","0.2845","0.0016666666666666668"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","1","2","5","5","0.5","5","20","9","1.5","9","7.136162281036377","0.2745","0.13777777777777778"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","1","2","5","5","0.5","5","20","9","1.5","10","6.530322551727295","0.291","0.12055555555555555"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","1","2","5","5","0.5","5","20","9","1.5","11","6.112368106842041","0.299","0.007222222222222222"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","1","2","5","5","0.5","5","20","9","1.5","12","10.351012229919434","0.2195","0.03388888888888889"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","1","2","5","5","0.5","5","20","9","1.5","13","6.546513557434082","0.299","0.056666666666666664"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","1","2","5","5","0.5","5","20","9","1.5","14","8.135428428649902","0.2875","0.14888888888888888"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","1","2","5","5","0.5","5","20","9","1.5","15","7.128739356994629","0.2855","0.013333333333333334"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","1","2","5","5","0.5","5","20","9","1.5","16","7.581940650939941","0.2755","0.015555555555555555"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","1","2","5","5","0.5","5","20","9","1.5","17","5.900487422943115","0.329","0.17833333333333334"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","1","2","5","5","0.5","5","20","9","1.5","18","5.2034382820129395","0.3395","0.105"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","1","2","5","5","0.5","5","20","9","1.5","19","7.945888996124268","0.3065","0.0077777777777777776"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","1","2","5","5","0.5","5","20","9","1.5","20","6.658896446228027","0.3135","0.14166666666666666"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","1","2","5","5","0.5","5","20","9","1.5","21","6.819914817810059","0.2975","0.2916666666666667"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","1","2","5","5","0.5","5","20","9","1.5","22","5.985114097595215","0.3295","0.07166666666666667"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","1","2","5","5","0.5","5","20","9","1.5","23","7.137786388397217","0.3325","0.02666666666666667"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","1","2","5","5","0.5","5","20","9","1.5","24","6.973690986633301","0.325","0.12333333333333334"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","1","2","5","5","0.5","5","20","9","1.5","25","6.869032859802246","0.3155","0.05611111111111111"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","1","2","5","5","0.5","5","20","9","1.5","26","7.422663688659668","0.3165","0.0016666666666666668"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","1","2","5","5","0.5","5","20","9","1.5","27","5.930299282073975","0.346","0.11555555555555555"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","1","2","5","5","0.5","5","20","9","1.5","28","5.491411209106445","0.368","0.10944444444444444"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","1","2","5","5","0.5","5","20","9","1.5","29","6.427237033843994","0.3205","0.03222222222222222"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","1","2","5","5","0.5","5","20","9","1.5","30","7.439483165740967","0.306","0.31444444444444447"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","1","2","5","5","0.5","5","20","9","1.5","31","6.831171989440918","0.3165","0.17"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","1","2","5","5","0.5","5","20","9","1.5","32","5.698446273803711","0.3575","0.02666666666666667"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","1","2","5","5","0.5","5","20","9","1.5","33","6.641294479370117","0.334","0.06555555555555556"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","1","2","5","5","0.5","5","20","9","1.5","34","6.310854434967041","0.348","0.07833333333333334"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","1","2","5","5","0.5","5","20","9","1.5","35","5.620790958404541","0.3555","0.15388888888888888"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","1","2","5","5","0.5","5","20","9","1.5","36","6.855001449584961","0.3285","0.04055555555555555"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","1","2","5","5","0.5","5","20","9","1.5","37","7.120123863220215","0.297","0.15388888888888888"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","1","2","5","5","0.5","5","20","9","1.5","38","6.462774753570557","0.3215","0.2872222222222222"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","1","2","5","5","0.5","5","20","9","1.5","39","5.526610374450684","0.3695","0.08722222222222223"
