dataset,client_count,attacker_count,cohort_mode,trust_estimator,attack_scenario,noniid_alpha,repeat,method_variant,control_variant,sustained_target_share_reduction,limited_returned_update_rate_increase,full_weight_aggregated_update_rate_reduction,asr_auc_reduction,round_8_asr_reduction,final_backdoor_asr_reduction,final_accuracy_difference,runtime_overhead_seconds,asr_ge_10pct_delay,asr_ge_20pct_delay,asr_ge_30pct_delay
cifar10,20,2,mixed_maturity,dirichlet_lcb,diverse_then_repeat_backdoor,10,3,access_freshness_lease,access_full,0.023810326980524946,0.4666666666666667,0.4666666666666667,0.06741792929292928,-0.09055555555555556,0.030555555555555558,0.03049999999999997,0.8922847000000047,-1.0,0.0,3.0
cifar10,20,2,mixed_maturity,dirichlet_lcb,diverse_then_repeat_backdoor,10,4,access_freshness_lease,access_full,0.0233554338814283,0.4666666666666667,0.4666666666666667,0.045094696969696924,0.14166666666666666,0.09666666666666673,0.034999999999999976,11.54415609999998,-1.0,3.0,8.0
cifar10,20,2,mixed_maturity,dirichlet_lcb,diverse_then_repeat_backdoor,10,5,access_freshness_lease,access_full,0.026733225167022243,0.4666666666666667,0.4666666666666667,0.060643939393939306,-0.09166666666666667,0.43333333333333335,0.010000000000000009,6.360102500000011,0.0,0.0,7.0
cifar10,20,2,mixed_maturity,dirichlet_lcb,diverse_then_repeat_backdoor,10,6,access_freshness_lease,access_full,0.023424868170645027,0.4666666666666667,0.4666666666666667,0.07309343434343418,-0.2311111111111111,-0.18944444444444442,-0.017000000000000015,5.152483400000008,0.0,0.0,0.0
cifar10,20,2,mixed_maturity,dirichlet_lcb,diverse_then_repeat_backdoor,10,7,access_freshness_lease,access_full,0.023611263988626355,0.4666666666666667,0.4666666666666667,0.10208964646464636,0.3372222222222222,0.2038888888888889,0.05399999999999999,-0.17935529999999744,0.0,0.0,9.0
cifar10,20,2,mixed_maturity,dirichlet_lcb,diverse_then_repeat_backdoor,10,8,access_freshness_lease,access_full,0.024125515215100604,0.4666666666666667,0.4666666666666667,0.08964646464646464,0.021111111111111112,-0.2994444444444445,0.02300000000000002,0.6454681999999821,0.0,3.0,1.0
cifar10,20,2,mixed_maturity,dirichlet_lcb,diverse_then_repeat_backdoor,10,9,access_freshness_lease,access_full,0.025253757465160842,0.4666666666666667,0.4666666666666667,0.06231691919191912,0.01444444444444444,0.11444444444444446,-0.009500000000000008,-5.488364499999989,0.0,-1.0,-10.0
cifar10,10,1,mixed_maturity,dirichlet_lcb,benign_concept_drift,0.5,0,access_freshness_lease,rffl_reputation,-0.05344016254463703,0.4666666666666667,0.4666666666666667,0.028194444444444446,0.002777777777777778,0.10888888888888888,0.016500000000000015,-5.265854900000022,-3.0,31.0,nan
cifar10,10,1,mixed_maturity,dirichlet_lcb,benign_concept_drift,0.5,1,access_freshness_lease,rffl_reputation,0.09416652277648516,0.4666666666666667,0.4666666666666667,0.026332070707070727,0.16611111111111113,0.01111111111111111,0.03750000000000003,-5.2821821,2.0,30.0,30.0
cifar10,10,1,mixed_maturity,dirichlet_lcb,benign_concept_drift,0.5,2,access_freshness_lease,rffl_reputation,0.03655216206271549,0.4666666666666667,0.4666666666666667,-0.01142045454545454,0.1766666666666667,-0.04722222222222225,-0.01100000000000001,0.17980909999999994,-1.0,-1.0,2.0
cifar10,10,1,mixed_maturity,dirichlet_lcb,benign_concept_drift,0.5,3,access_freshness_lease,rffl_reputation,-0.06509559270403473,0.4666666666666667,0.4666666666666667,0.023800505050505086,-0.03666666666666667,-0.23444444444444446,0.016000000000000014,0.23696900000000198,-2.0,3.0,8.0
cifar10,10,1,mixed_maturity,dirichlet_lcb,benign_concept_drift,0.5,4,access_freshness_lease,rffl_reputation,0.0832488878505587,0.4666666666666667,0.4666666666666667,0.006136363636363655,0.020555555555555556,0.03333333333333333,0.0030000000000000027,-0.16477480000000355,4.0,nan,nan
cifar10,10,1,mixed_maturity,dirichlet_lcb,benign_concept_drift,0.5,5,access_freshness_lease,rffl_reputation,0.035511304585086174,0.4666666666666667,0.4666666666666667,0.017563131313131308,0.14,0.001111111111111111,-0.027000000000000024,-4.964126100000001,2.0,27.0,nan
cifar10,10,1,mixed_maturity,dirichlet_lcb,benign_concept_drift,0.5,6,access_freshness_lease,rffl_reputation,-0.010087990726648843,0.4666666666666667,0.4666666666666667,-0.015378787878787853,-0.28444444444444444,0.02388888888888889,0.025499999999999967,0.08520730000000754,1.0,2.0,2.0
cifar10,10,1,mixed_maturity,dirichlet_lcb,benign_concept_drift,0.5,7,access_freshness_lease,rffl_reputation,0.05425301377777394,0.4666666666666667,0.4666666666666667,-0.014305555555555557,0.12944444444444445,0.16555555555555557,0.014000000000000012,-4.879335900000001,0.0,0.0,nan
cifar10,10,1,mixed_maturity,dirichlet_lcb,benign_concept_drift,0.5,8,access_freshness_lease,rffl_reputation,-0.03601425029052763,0.4666666666666667,0.4666666666666667,0.002064393939393963,0.015555555555555555,-0.017777777777777774,-0.01899999999999996,0.07071679999999958,4.0,2.0,nan
cifar10,10,1,mixed_maturity,dirichlet_lcb,benign_concept_drift,0.5,9,access_freshness_lease,rffl_reputation,0.06514577967331768,0.4666666666666667,0.4666666666666667,-0.02427398989898992,-0.09555555555555556,0.060000000000000005,0.01849999999999996,-5.0624033,-2.0,-5.0,nan
cifar10,10,1,mixed_maturity,dirichlet_lcb,diverse_then_repeat_backdoor,0.5,0,access_freshness_lease,rffl_reputation,-0.03406436806952062,0.4666666666666667,0.4666666666666667,-0.03362373737373736,-0.009444444444444443,0.06388888888888894,-0.03550000000000003,-0.3628546000000199,6.0,0.0,0.0
cifar10,10,1,mixed_maturity,dirichlet_lcb,diverse_then_repeat_backdoor,0.5,1,access_freshness_lease,rffl_reputation,0.07570163697159482,0.4666666666666667,0.4666666666666667,0.17283459595959594,-0.011666666666666686,0.38555555555555554,0.0050000000000000044,-6.128009899999995,2.0,7.0,10.0
cifar10,10,1,mixed_maturity,dirichlet_lcb,diverse_then_repeat_backdoor,0.5,2,access_freshness_lease,rffl_reputation,0.05526404884776138,0.4666666666666667,0.4666666666666667,0.14068181818181802,0.5155555555555555,0.46611111111111114,0.019500000000000017,-4.7942594999999955,0.0,0.0,-1.0
cifar10,10,1,mixed_maturity,dirichlet_lcb,diverse_then_repeat_backdoor,0.5,3,access_freshness_lease,rffl_reputation,-0.06733686371256623,0.4666666666666667,0.4666666666666667,-0.15755050505050505,0.023333333333333334,0.04055555555555557,0.014000000000000012,0.7919961999999998,1.0,1.0,-9.0
cifar10,10,1,mixed_maturity,dirichlet_lcb,diverse_then_repeat_backdoor,0.5,4,access_freshness_lease,rffl_reputation,0.06884804170238051,0.4666666666666667,0.4666666666666667,0.14340909090909087,0.08166666666666668,0.12166666666666667,0.013500000000000012,-5.385229900000013,1.0,1.0,1.0
cifar10,10,1,mixed_maturity,dirichlet_lcb,diverse_then_repeat_backdoor,0.5,5,access_freshness_lease,rffl_reputation,0.04252257118933395,0.4666666666666667,0.4666666666666667,0.08157828282828283,-0.08,0.3361111111111111,-0.05199999999999999,0.4191019999999952,-1.0,-1.0,-1.0
cifar10,10,1,mixed_maturity,dirichlet_lcb,diverse_then_repeat_backdoor,0.5,6,access_freshness_lease,rffl_reputation,0.002118768659315373,0.4666666666666667,0.4666666666666667,-0.02302398989898982,0.20777777777777778,-0.0016666666666667052,0.035999999999999976,-0.4068139999999971,0.0,0.0,0.0
cifar10,10,1,mixed_maturity,dirichlet_lcb,diverse_then_repeat_backdoor,0.5,7,access_freshness_lease,rffl_reputation,0.06666671245390257,0.4666666666666667,0.4666666666666667,0.1513194444444444,0.07833333333333331,0.385,0.016500000000000015,-5.2770201999999955,0.0,3.0,1.0
cifar10,10,1,mixed_maturity,dirichlet_lcb,diverse_then_repeat_backdoor,0.5,8,access_freshness_lease,rffl_reputation,-0.04269360226694151,0.4666666666666667,0.4666666666666667,-0.07789141414141415,0.13833333333333336,-0.047222222222222165,-0.02200000000000002,-0.24060589999999138,-1.0,-1.0,-1.0
cifar10,10,1,mixed_maturity,dirichlet_lcb,diverse_then_repeat_backdoor,0.5,9,access_freshness_lease,rffl_reputation,0.03558906965211919,0.4666666666666667,0.4666666666666667,0.0714141414141414,-0.023333333333333334,0.08555555555555555,0.025500000000000023,0.606359800000007,5.0,5.0,6.0
cifar10,20,2,mixed_maturity,dirichlet_lcb,benign_concept_drift,0.1,0,access_freshness_lease,rffl_reputation,0.032433328156048144,0.4666666666666667,0.4666666666666667,-0.03334595959595961,-0.12444444444444445,0.04055555555555555,-0.030999999999999972,-17.317036900000005,0.0,nan,nan
cifar10,20,2,mixed_maturity,dirichlet_lcb,benign_concept_drift,0.1,1,access_freshness_lease,rffl_reputation,0.0321769965045509,0.4666666666666667,0.4666666666666667,-0.019848484848484893,0.05777777777777776,0.01444444444444444,0.026000000000000023,-5.472100399999988,2.0,2.0,2.0
cifar10,20,2,mixed_maturity,dirichlet_lcb,benign_concept_drift,0.1,2,access_freshness_lease,rffl_reputation,0.012614512423904989,0.4666666666666667,0.4666666666666667,-0.022228535353535375,-0.02388888888888889,0.09333333333333334,0.01200000000000001,-1.7160532000000046,-1.0,1.0,0.0
cifar10,20,2,mixed_maturity,dirichlet_lcb,benign_concept_drift,0.1,3,access_freshness_lease,rffl_reputation,0.08899379253236585,0.4666666666666667,0.4666666666666667,-0.0021464646464646048,-0.00944444444444445,0.01888888888888889,-0.03200000000000003,-1.0323812999999973,1.0,3.0,nan
cifar10,20,2,mixed_maturity,dirichlet_lcb,benign_concept_drift,0.1,4,access_freshness_lease,rffl_reputation,0.059154246796340175,0.4666666666666667,0.4666666666666667,-0.006464646464646472,0.09666666666666666,-0.012222222222222218,0.017000000000000015,-1.230962699999992,0.0,0.0,nan
cifar10,20,2,mixed_maturity,dirichlet_lcb,benign_concept_drift,0.1,5,access_freshness_lease,rffl_reputation,0.09589195448921928,0.4666666666666667,0.4666666666666667,-0.010574494949494938,-0.008333333333333333,-0.038888888888888896,0.0010000000000000009,8.940840399999985,-1.0,0.0,0.0
cifar10,20,2,mixed_maturity,dirichlet_lcb,benign_concept_drift,0.1,6,access_freshness_lease,rffl_reputation,-0.01026075221979858,0.4666666666666667,0.4666666666666667,-0.015025252525252525,-0.11055555555555555,0.005555555555555536,-0.007000000000000006,-1.5572607000000005,-3.0,1.0,1.0
cifar10,20,2,mixed_maturity,dirichlet_lcb,benign_concept_drift,0.1,7,access_freshness_lease,rffl_reputation,0.08013621100825052,0.4666666666666667,0.4666666666666667,0.006111111111111095,0.03111111111111111,0.015555555555555559,0.025500000000000023,-2.012132699999995,-5.0,nan,nan
cifar10,20,2,mixed_maturity,dirichlet_lcb,benign_concept_drift,0.1,8,access_freshness_lease,rffl_reputation,0.04812835026733704,0.4666666666666667,0.4666666666666667,-0.014791666666666689,-0.02722222222222222,0.07611111111111112,0.0005000000000000004,10.521338799999995,2.0,2.0,2.0
