dataset,client_count,attacker_count,cohort_mode,variant,trust_estimator,attack_scenario,noniid_alpha,repeat,legitimate_newcomer_case,newcomer_count,incumbent_count,newcomer_initial_training_eligible_rate,newcomer_initial_limited_rate,newcomer_completed_tasks_mean,newcomer_onboarding_seconds_mean,incumbent_initial_training_eligible_rate,newcomer_full_access_before_attack_rate,newcomer_first_full_access_round_max
cifar10,20,2,mixed_maturity,rffl_reputation,dirichlet_lcb,benign_concept_drift,0.1,0,1,2,18,1.0,0.0,9.0,2.5497591495513916,1.0,1.0,1
cifar10,20,2,mixed_maturity,rffl_reputation,dirichlet_lcb,benign_concept_drift,0.1,1,1,2,18,1.0,0.0,9.0,2.7240504026412964,1.0,1.0,1
cifar10,20,2,mixed_maturity,rffl_reputation,dirichlet_lcb,benign_concept_drift,0.1,2,1,2,18,1.0,0.0,9.0,3.3076318502426147,1.0,1.0,1
cifar10,20,2,mixed_maturity,rffl_reputation,dirichlet_lcb,benign_concept_drift,0.1,3,1,2,18,1.0,0.0,9.0,2.6769299507141113,1.0,1.0,1
cifar10,20,2,mixed_maturity,rffl_reputation,dirichlet_lcb,benign_concept_drift,0.1,4,1,2,18,1.0,0.0,9.0,3.475033164024353,1.0,1.0,1
cifar10,20,2,mixed_maturity,rffl_reputation,dirichlet_lcb,benign_concept_drift,0.1,5,1,2,18,1.0,0.0,9.0,2.4762368202209473,1.0,1.0,1
cifar10,20,2,mixed_maturity,rffl_reputation,dirichlet_lcb,benign_concept_drift,0.1,6,1,2,18,1.0,0.0,9.0,2.924895167350769,1.0,1.0,1
cifar10,20,2,mixed_maturity,rffl_reputation,dirichlet_lcb,benign_concept_drift,0.1,7,1,2,18,1.0,0.0,9.0,2.6778913736343384,1.0,1.0,1
cifar10,20,2,mixed_maturity,rffl_reputation,dirichlet_lcb,benign_concept_drift,0.1,8,1,2,18,1.0,0.0,9.0,2.5215946435928345,1.0,1.0,1
cifar10,20,2,mixed_maturity,rffl_reputation,dirichlet_lcb,benign_concept_drift,0.1,9,1,2,18,1.0,0.0,9.0,2.8599584102630615,1.0,1.0,1
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,diverse_then_repeat_backdoor,10,0,0,2,18,1.0,1.0,9.0,2.447807192802429,1.0,1.0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,diverse_then_repeat_backdoor,10,1,0,2,18,1.0,1.0,9.0,2.759216785430908,1.0,1.0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,diverse_then_repeat_backdoor,10,2,0,2,18,1.0,1.0,9.0,3.009192109107971,1.0,1.0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,diverse_then_repeat_backdoor,10,3,0,2,18,1.0,1.0,9.0,2.46749484539032,1.0,1.0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,diverse_then_repeat_backdoor,10,4,0,2,18,1.0,1.0,9.0,3.0591678619384766,1.0,1.0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,diverse_then_repeat_backdoor,10,5,0,2,18,1.0,1.0,9.0,2.817527651786804,1.0,1.0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,diverse_then_repeat_backdoor,10,6,0,2,18,1.0,1.0,9.0,2.9030745029449463,1.0,1.0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,diverse_then_repeat_backdoor,10,7,0,2,18,1.0,1.0,9.0,3.4400429725646973,1.0,1.0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,diverse_then_repeat_backdoor,10,8,0,2,18,1.0,1.0,9.0,3.532646656036377,1.0,1.0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,diverse_then_repeat_backdoor,10,9,0,2,18,1.0,1.0,9.0,3.110630512237549,1.0,1.0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,10,0,1,2,18,1.0,1.0,9.0,2.8005707263946533,1.0,1.0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,10,1,1,2,18,1.0,1.0,9.0,2.4173600673675537,1.0,1.0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,10,2,1,2,18,1.0,1.0,9.0,3.249814033508301,1.0,1.0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,10,3,1,2,18,1.0,1.0,9.0,3.0803080797195435,1.0,1.0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,10,4,1,2,18,1.0,1.0,9.0,3.8237712383270264,1.0,1.0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,10,5,1,2,18,1.0,1.0,9.0,3.3607094287872314,1.0,1.0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,10,6,1,2,18,1.0,1.0,9.0,3.4630608558654785,1.0,1.0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,10,7,1,2,18,1.0,1.0,9.0,3.622168779373169,1.0,1.0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,10,8,1,2,18,1.0,1.0,9.0,3.034609794616699,1.0,1.0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,10,9,1,2,18,1.0,1.0,9.0,3.329107165336609,1.0,1.0,5
cifar10,20,2,mixed_maturity,access_full,dirichlet_lcb,diverse_then_repeat_backdoor,10,0,0,2,18,1.0,1.0,9.0,3.463183283805847,1.0,1.0,5
cifar10,20,2,mixed_maturity,access_full,dirichlet_lcb,diverse_then_repeat_backdoor,10,1,0,2,18,1.0,1.0,9.0,3.4514578580856323,1.0,1.0,5
cifar10,20,2,mixed_maturity,access_full,dirichlet_lcb,diverse_then_repeat_backdoor,10,2,0,2,18,1.0,1.0,9.0,3.728447198867798,1.0,1.0,5
cifar10,20,2,mixed_maturity,access_full,dirichlet_lcb,diverse_then_repeat_backdoor,10,3,0,2,18,1.0,1.0,9.0,2.812762975692749,1.0,1.0,5
cifar10,20,2,mixed_maturity,access_full,dirichlet_lcb,diverse_then_repeat_backdoor,10,4,0,2,18,1.0,1.0,9.0,2.9546183347702026,1.0,1.0,5
cifar10,20,2,mixed_maturity,access_full,dirichlet_lcb,diverse_then_repeat_backdoor,10,5,0,2,18,1.0,1.0,9.0,2.9937143325805664,1.0,1.0,5
cifar10,20,2,mixed_maturity,access_full,dirichlet_lcb,diverse_then_repeat_backdoor,10,6,0,2,18,1.0,1.0,9.0,3.1300084590911865,1.0,1.0,5
cifar10,20,2,mixed_maturity,access_full,dirichlet_lcb,diverse_then_repeat_backdoor,10,7,0,2,18,1.0,1.0,9.0,2.902816891670227,1.0,1.0,5
cifar10,20,2,mixed_maturity,access_full,dirichlet_lcb,diverse_then_repeat_backdoor,10,8,0,2,18,1.0,1.0,9.0,2.64544939994812,1.0,1.0,5
cifar10,20,2,mixed_maturity,access_full,dirichlet_lcb,diverse_then_repeat_backdoor,10,9,0,2,18,1.0,1.0,9.0,3.380980610847473,1.0,1.0,5
cifar10,20,2,mixed_maturity,access_full,dirichlet_lcb,benign_concept_drift,10,0,1,2,18,1.0,1.0,9.0,2.9336280822753906,1.0,1.0,5
cifar10,20,2,mixed_maturity,access_full,dirichlet_lcb,benign_concept_drift,10,1,1,2,18,1.0,1.0,9.0,2.7439301013946533,1.0,1.0,5
cifar10,20,2,mixed_maturity,access_full,dirichlet_lcb,benign_concept_drift,10,2,1,2,18,1.0,1.0,9.0,2.6948466300964355,1.0,1.0,5
cifar10,20,2,mixed_maturity,access_full,dirichlet_lcb,benign_concept_drift,10,3,1,2,18,1.0,1.0,9.0,2.914799451828003,1.0,1.0,5
cifar10,20,2,mixed_maturity,access_full,dirichlet_lcb,benign_concept_drift,10,4,1,2,18,1.0,1.0,9.0,3.3364148139953613,1.0,1.0,5
cifar10,20,2,mixed_maturity,access_full,dirichlet_lcb,benign_concept_drift,10,5,1,2,18,1.0,1.0,9.0,3.3523268699645996,1.0,1.0,5
cifar10,20,2,mixed_maturity,access_full,dirichlet_lcb,benign_concept_drift,10,6,1,2,18,1.0,1.0,9.0,3.6428695917129517,1.0,1.0,5
cifar10,20,2,mixed_maturity,access_full,dirichlet_lcb,benign_concept_drift,10,7,1,2,18,1.0,1.0,9.0,3.414823293685913,1.0,1.0,5
