dataset,client_count,attacker_count,cohort_mode,variant,trust_estimator,attack_scenario,noniid_alpha,repeat,stage,attacker_fraction,normal_nodes,target_initial_limited_rate,target_initial_admitted_rate,normal_initial_admitted_rate,target_onboarding_seconds_mean,normal_onboarding_seconds_mean,target_returned_updates_after_start,target_aggregated_updates_after_start,target_effective_aggregation_share_after_start,target_rffl_removals,normal_rffl_removals,update_payload_bytes,server_processing_seconds,configuration_runtime_seconds,controller_state_bytes,configured_access_lease_full_updates,final_accuracy,final_backdoor_asr,total_rounds,target_full_access_round_mean,target_promoted_rate,target_effective_aggregation_share_early,target_effective_aggregation_share_late,backdoor_asr_auc_after_start,backdoor_asr_at_round_8,backdoor_asr_growth_round_8_to_final,first_round_asr_ge_10pct,first_round_asr_ge_20pct,first_round_asr_ge_30pct,target_effective_aggregation_share_sustained,target_limited_returned_update_rate_after_start,target_full_weight_aggregated_update_rate_after_start,target_lease_expirations,target_lease_renewals,normal_lease_expirations,lease_full_updates
cifar10,10,1,mixed_maturity,access_full,dirichlet_lcb,diverse_then_repeat_backdoor,0.5,0,formal,0.1,9,1.0,0.0,1.0,2.615417718887329,16.369025415844387,45,45,0.20825999999999983,0,0,61460000,28.541151739999997,162.5551597,6246095,5,0.3465,0.7011111111111111,50,5.0,1.0,0.20825999999999995,0.20825999999999975,0.4870959595959596,0.04555555555555556,0.6555555555555556,7.0,7.0,7.0,0.20825999999999975,0.0,1.0,0,0,0,0
cifar10,10,1,mixed_maturity,access_full,dirichlet_lcb,diverse_then_repeat_backdoor,0.5,1,formal,0.1,9,1.0,0.0,1.0,2.7711150646209717,19.316762023501926,45,45,0.04774000000000006,0,0,61460000,25.48313038,131.0484546,6246095,5,0.335,0.24944444444444444,50,5.0,1.0,0.04774,0.047740000000000046,0.11820075757575754,0.04,0.20944444444444443,7.0,7.0,23.0,0.047740000000000046,0.0,1.0,0,0,0,0
cifar10,10,1,mixed_maturity,access_full,dirichlet_lcb,diverse_then_repeat_backdoor,0.5,2,formal,0.1,9,1.0,0.0,1.0,2.77907657623291,12.694544076919556,45,45,0.07140000000000005,0,0,61460000,27.764851939999996,100.3589168,6254287,5,0.327,0.46166666666666667,50,5.0,1.0,0.0714,0.07140000000000005,0.24200757575757575,0.3844444444444444,0.07722222222222225,7.0,7.0,7.0,0.07140000000000005,0.0,1.0,0,0,0,0
cifar10,10,1,mixed_maturity,access_full,dirichlet_lcb,diverse_then_repeat_backdoor,0.5,3,formal,0.1,9,1.0,0.0,1.0,2.2954840660095215,12.946439372168648,45,45,0.22724000000000036,0,0,61460000,29.77978105000001,105.8602186,6237903,5,0.349,0.8072222222222222,50,5.0,1.0,0.22724,0.22724000000000047,0.5910542929292929,0.29888888888888887,0.5083333333333333,6.0,6.0,7.0,0.22724000000000047,0.0,1.0,0,0,0,0
cifar10,10,1,mixed_maturity,access_full,dirichlet_lcb,diverse_then_repeat_backdoor,0.5,4,formal,0.1,9,1.0,0.0,1.0,2.8986892700195312,12.697375747892591,45,45,0.040680000000000056,0,0,61460000,25.503778299999997,100.2883151,6254287,5,0.3125,0.14222222222222222,50,5.0,1.0,0.040679999999999994,0.04068000000000009,0.14595328282828282,0.04833333333333333,0.09388888888888888,7.0,7.0,11.0,0.04068000000000009,0.0,1.0,0,0,0,0
cifar10,10,1,mixed_maturity,access_full,dirichlet_lcb,diverse_then_repeat_backdoor,0.5,5,formal,0.1,9,1.0,0.0,1.0,2.6656477451324463,9.242905881669786,45,45,0.07376000000000003,0,0,61460000,26.716407669999995,100.4295121,6241927,5,0.323,0.03666666666666667,50,5.0,1.0,0.07376000000000002,0.07376000000000003,0.21858585858585863,0.26666666666666666,-0.22999999999999998,7.0,8.0,15.0,0.07376000000000003,0.0,1.0,0,0,0,0
cifar10,10,1,mixed_maturity,access_full,dirichlet_lcb,diverse_then_repeat_backdoor,0.5,6,formal,0.1,9,1.0,0.0,1.0,2.7067084312438965,2.919785393608941,45,45,0.11508,0,0,61460000,26.61522137,75.9770337,6246071,5,0.3385,0.4,50,5.0,1.0,0.11508,0.11508000000000006,0.305959595959596,0.15833333333333333,0.2416666666666667,7.0,7.0,7.0,0.11508000000000006,0.0,1.0,0,0,0,0
cifar10,10,1,mixed_maturity,access_full,dirichlet_lcb,diverse_then_repeat_backdoor,0.5,7,formal,0.1,9,1.0,0.0,1.0,2.793041229248047,9.51402899954054,45,45,0.058179999999999926,0,0,61460000,27.646819730000004,99.905492,6266623,5,0.3055,0.2311111111111111,50,5.0,1.0,0.05818,0.05817999999999991,0.21155934343434343,0.09722222222222222,0.1338888888888889,7.0,7.0,21.0,0.05817999999999991,0.0,1.0,0,0,0,0
cifar10,10,1,mixed_maturity,access_full,dirichlet_lcb,diverse_then_repeat_backdoor,0.5,8,formal,0.1,9,1.0,0.0,1.0,3.014909029006958,6.164706548055013,45,45,0.1949800000000002,0,0,61460000,28.504332840000004,100.5783842,6258407,5,0.3415,0.46944444444444444,50,5.0,1.0,0.19498,0.19498000000000004,0.49334595959595956,0.8222222222222222,-0.35277777777777775,6.0,6.0,6.0,0.19498000000000004,0.0,1.0,0,0,0,0
cifar10,10,1,mixed_maturity,access_full,dirichlet_lcb,diverse_then_repeat_backdoor,0.5,9,formal,0.1,9,1.0,0.0,1.0,2.8022093772888184,19.338536077075535,45,45,0.08388000000000001,0,0,61460000,26.981064280000005,130.8349221,6250191,5,0.3325,0.19944444444444445,50,5.0,1.0,0.08388,0.08387999999999998,0.22205808080808076,0.0811111111111111,0.11833333333333335,6.0,9.0,25.0,0.08387999999999998,0.0,1.0,0,0,0,0
